"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"appSettingsDesc","Here you can configure your timezone and date formatting that will apply to all of the control panel.","Ici, vous pouvez configurer votre fuseau horaire et le format de date qui s'appliquera à l'ensemble du panneau de contrôle.","यहाँ पर आप अपना समय क्षेत्र और तिथि स्वरूपन कॉन्फ़िगर कर सकते हैं जो कि सभी नियंत्रण पैनल पर लागू होगा।","Aici puteți configura fusul orar și formatul datei care se vor aplica întregului panou de control.","ここでは、すべてのコントロールパネルに適用されるタイムゾーンと日付のフォーマットを構成できます。","여기에서 모든 제어판에 적용되는 시간대 및 날짜 서식을 구성 할 수 있습니다.","Здесь вы можете настроить свой часовой застрой и форматирование даты, которые будут применяться ко всей панели управления.","Aquí puede configurar su zona horaria y formato de fecha que se aplicará a todo el panel de control.","在这里，您可以配置适用于所有控制面板的时区和日期格式。","هنا يمكنك تكوين تنسيق المنطقة الزمنية وتنسيق التاريخ الذي ينطبق على جميع لوحة التحكم.","Aqui você pode configurar seu fuso horário e formatação de data que se aplicará a todo o painel de controle.","Qui puoi configurare il fuso orario e il formato della data che si applicheranno a tutto il pannello di controllo."
"archived","Archived","Archivé","संग्रहीत","Arhivat","アーカイブ","보관 된","Архивированный","Archivado","存档","أرشفة","Arquivado","Archiviato"
"attachFile","Attach file","Joindre un fichier","फ़ाइल संलग्न करें","Ataseaza fisier","ファイルを添付する","파일을 첨부","Прикрепить файл","Adjuntar archivo","附加文件","أرفق ملف","Anexe o arquivo","Allega file"
"attachment","Attachment","Pièce jointe","संलग्न","Atașament","添付ファイル","부착","Вложение","Adjunto","依恋","مرفق","Anexo","Allegato"
"avatar","Avatar","Avatar","अवतार","Avatar","アバター","화신","Аватар","Avatar","头像","الصورة الرمزية","Avatar","Immagine"
"avatarDialogMessage","Admin requested to update your avatar.","L'administrateur a demandé de mettre à jour votre avatar.","प्रशासनिक अवतार अपडेट करने के लिए अनुरोध किया गया है।","Administratorul a solicitat să vă actualizati avatarul","管理者はアバターの更新を要求しました。","관리자가 아바타를 업데이트하도록 요청했습니다.","Администратор попросил обновить ваш аватар.","Administrador solicitado para actualizar su avatar.","要求更新您的头像。","طلب المسؤول تحديث الصورة الرمزية الخاصة بك.","Admin solicitou para atualizar seu avatar.","l'Amministratore ha richiesto di aggiornare la tua immagine"
"billing","Billing","Facturation","बिलिंग","Facturare","請求する","청구","Биллинг","Facturación","计费","الفواتير","Cobrança","Fatturazione"
"billingAddress","Billing address","Adresse de facturation","बिलिंग पता","Adresa facturare","請求先住所","청구 지 주소","Адрес для выставления счета","Dirección de Envio","帐单地址","عنوان وصول الفواتير","Endereço de Cobrança","Indirizzo di fatturazione"
"billingPeriod","Billing period","Période de facturation","बिलिंग अवधि","Perioada de facturare","支払請求周期","청구 기간","Расчетный период","Período de facturación","结算期","فترة الفواتير","Período de pagamento","Periodo di fatturazione"
"blockedInfo","Blocked from booking a class until {release} release date.","Bloqué(e) pour la réservation d'une classe jusqu'à la date de libération {release}.","{release} रिलीज़ तिथि तक कक्षा की बुकिंग से ब्लॉक है।","Blocat pentru rezervarea unei clase până la data de eliberare {release}","{release}リリース日までクラスの予約をブロックしました。","{release} 릴리스 날짜까지 클래스 예약에서 차단되었습니다.","Заблокировано от бронирования класса до {release} Дата выпуска.","Bloqueado para reservar una clase hasta la fecha de lanzamiento {release}.","阻止预订课程，直到{release}发布日期。","تم حظره من حجز فئة حتى تاريخ الإصدار {release}.","Bloqueado de reservar uma classe até a data de lançamento {release}.","Prenotazione di un corso bloccato fino alla data di rilascio del {release}."
"bookings.noData","No bookings available","Aucune réservation disponible","कोई बुकिंग उपलब्ध नहीं है","Nu sunt rezervari disponibile","予約はありません","예약을 사용할 수 없습니다","Нет доступных заказов","No hay reservas disponibles","没有可用的预订","لا حجوزات متاحة","Sem reservas disponíveis","Nessuna prenotazione disponibile"
"browse","Browse","Parcourir","ब्राउज़ करें","Cautare","ブラウズ","검색","Просматривать","Navegar","浏览","تصفح","Navegar","Sfoglia"
"browseFiles","Browse files","Parcourir les fichiers","फ़ाइल ब्राउज़ करें","Cautare fisiere","ブラウズファイル","파일을 찾아보세요","Просмотреть файлы","Búsqueda de archivos","浏览文件","تصفح ملفات","Navegue por arquivos","Sfoglia i file"
"button","Button","Bouton","बटन","Buton","ボタン","단추","Кнопка","Botón","按钮","زر","Botão","Pulsante"
"cancel","Cancel","Annuler","रद्द करें","Anuleaza","キャンセル","취소","Отмена","Cancelar","取消","يلغي","Cancelar","Annulla"
"cancelBooking","Cancel","Annuler","रद्द करें","Anuleaza","キャンセル","취소","Отмена","Cancelar","取消","يلغي","Cancelar","Annulla"
"cancelDowngrade","Cancel downgrade","Annuler la rétrogradation","डाउनग्रेड रद्द करें","Anuleaza downgrade","ダウングレードをキャンセルします","다운 그레이드를 취소하십시오","Отменить понижение","Cancelar la rebaja","取消降级","إلغاء التصنيف","Cancelar o rebaixamento","Annulla il downgrade"
"cancelPlan","Cancel plan","Annuler le plan","योजना रद्द करें","Anuleaza plan","計画をキャンセルします","계획을 취소하십시오","Отменить план","Plan de cancelación","取消计划","إلغاء الخطة","Cancelar plano","Annulla il piano di abbonamento"
"capacity","Capacity","Capacité","क्षमता","Capacitate","容量","용량","Емкость","Capacidad","容量","سعة","Capacidade","Max partecipanti"
"cart","Cart","Panier","कार्ट","Cos","カート","카트","Тележка","Carro","大车","عربة التسوق","Carrinho","Carrello"
"cartInfo","We will respond to this enquire via our messenger, please add any message to this enquiry.","Nous répondrons à cette demande via notre messagerie, veuillez ajouter un message à cette demande.","हम इस जांच का उत्तर हमारे मैसेंजर के माध्यम से देंगे, कृपया इस जांच के लिए कोई संदेश जोड़ें।","Vom raspunde la aceasta solicitare prin intermediul mesageriei noastre, te rog adauga orice mesaj la aceasta solicitare","このお問い合わせに回答します。この問い合わせにメッセージを追加してください。","우리는 메신저를 통해이 문의에 응답 할 것입니다.이 문의에 메시지를 추가하십시오.","Мы ответим на этот вопрос через наш мессенджер, добавьте любое сообщение в этот запрос.","Responderemos a esta consulta a través de nuestro mensajero, agregue cualquier mensaje a esta consulta.","我们将通过Messenger回复此询问，请在此查询中添加任何消息。","سوف نرد على هذا الاستفسار عبر رسولنا ، يرجى إضافة أي رسالة إلى هذا الاستفسار.","Responderemos a essa investigação através do nosso mensageiro, adicione qualquer mensagem a esta consulta.","Risponderemo a questa richiesta tramite e-mail, scrivici il tuo messaggio"
"changePlan","Change Plan","Changer de forfait","योजना परिवर्तन","Schimba tipul de abonament","プラン変更","변경 계획","Изменить план","Cambio de plan","更改计划","خطة التغيير","Alterar Plano","Modifica Piano"
"city","City","Ville","शहर","Oras","市","도시","Город","Ciudad","城市","مدينة","Cidade","Città"
"class","Class","Classe","कक्षा","Clasa","クラス","수업","Сорт","Clase","班级","فصل","Aula","Corsi"
"classes.noBookings","No Classes Booked","Aucun cours réservé","कोई कक्षाएँ बुक नहीं की गईं","Nici o clasa rezervata","予約されたクラスはありません","예약 된 수업이 없습니다","Никаких занятий не забронировано","No hay clases reservadas","没有预订的课程","لا توجد فصول محجوزة","Nenhuma aula reservada","Nessun corso prenotato"
"classes.noData","No classes available","Aucun cours disponible","कोई कक्षाएँ उपलब्ध नहीं","Nici o clasa disponibila","クラスはありません","사용 가능한 클래스가 없습니다","Нет занятий","No hay clases disponibles","没有可用的课程","لا توجد فصول متاحة","Sem classes disponíveis","Nessun corso disponibile"
"classSchedules.generalDesc","Template class schedules will be use to changed bulk week class schedules.","Les horaires des cours modèles seront utilisés pour modifier les horaires des cours en vrac.","टेम्पलेट कक्षा अनुसूचियाँ बड़े हफ्ते की कक्षा अनुसूचियाँ बदलने के लिए प्रयुक्त होंगी।","Șabloanele pentru orarele claselor vor fi folosite pentru a schimba programul de clase al întregii săptămâni.","テンプレートクラススケジュールは、バルクウィーククラスのスケジュールを変更するために使用されます。","템플릿 클래스 일정은 대량 주간 수업 일정을 변경하는 데 사용됩니다.","Расписание класса шаблонов будет использоваться для изменения расписания класса на целом.","El horario de clases de plantilla se utilizará para cambiar el horario de clases de la semana masiva.","模板课程时间表将用于更改批量周课程。","سيتم استخدام جدول فئة القالب لتغيير جدول فئة الأسبوع بالجملة.","O cronograma da classe de modelo será usado para alterar o cronograma da aula da semana em massa.","I modelli predefiniti degli orari dei corsi saranno utilizzati per cambiare gli orari delle lezioni per intere settimane in una sola volta"
"classSchedules.title","Class schedules","Horaires des cours","कक्षा अनुसूचियाँ","Programul claselor","クラススケジュール","수업 일정","Графики класса","Horario de clases","课程时间表","جداول الفصل","Agenda da aula","Orari dei corsi"
"clear","Clear","Effacer","साफ़ करें","Sterge","クリア","분명한","Прозрачный","Claro","清除","واضح","Claro","Cancella"
"close","Close","Fermer","बंद करें","Inchide","近い","닫다","Закрывать","Cerca","关闭","يغلق","Fechar","Chiudi"
"closeAllDay","Close all day","Fermer toute la journée","पूरे दिन बंद","Inchis toata ziua","一日中閉じてください","하루 종일 닫습니다","Закрыть весь день","Cerrar todo el día","整天关闭","أغلق طوال اليوم","Feche o dia todo","Chiudi per l'intera giornata"
"closeAt","Close at","Fermer à","बंद होता है","Inchis la","閉じます","닫으십시오","Близко к","Cierre","关闭","أغلق في","Fechar em","Chiudi alle"
"code","Code","Code","कोड","Cod","コード","암호","Код","Código","代码","شفرة","Código","Codice"
"collectPayment","Collect payment","Collecter le paiement","भुगतान जमा करें","Colecteaza Plata","支払いを集めます","지불금을 수집하십시오","Собирать оплату","Pago por cobro","收集付款","جمع الدفعات المالية","Recolher pagamento","Ricevi il pagamento"
"confirm","Confirm","Confirmer","ठीक है","Confirm","確認する","확인하다","Подтверждать","Confirmar","确认","يتأكد","confirme","Conferma"
"confirmPassword","Confirm Password","Confirmer le mot de passe","पासवर्ड की पुष्टि करें","Confirma parola","パスワードを認証する","비밀번호 확인","Подтвердите пароль","confirmar Contraseña","确认密码","تأكيد كلمة المرور","Confirme sua senha","Conferma password"
"confirmPayment","Confirm Payment","Confirmer le paiement","पैसे की पुष्टि करें","Confirma Plata","支払いを確認します","지불을 확인하십시오","Подтвердите оплату","Confirmar pago","确认付款","تأكيد الدفع","Confirme o pagamento","Conferma pagamento"
"connectYourBarcodeScanner","Connect your barcode scanner.","Connectez votre scanner de codes-barres.","अपना बारकोड स्कैनर कनेक्ट करें।","Conectati scannerul de coduri de bare","バーコードスキャナーを接続します。","바코드 스캐너를 연결하십시오.","Подключите сканер штрих -кода.","Conecte su escáner de código de barras.","连接条形码扫描仪。","قم بتوصيل ماسح الباركود الخاص بك.","Conecte seu scanner de código de barras.","Collega il tuo scanner per codici a barre"
"contactUs","Contact us","Contactez-nous","हमसे संपर्क करें","Contactati-ne","お問い合わせ","문의하기","Связаться с нами","Contáctenos","联系我们","اتصل بنا","Contate-nos","Contattaci"
"country","Country","Pays","देश","Tara","国","국가","Страна","País","国家","دولة","País","Paese"
"createNew","Create new","Créer un nouveau","नया बनाएं","Creaza nou","新しく作る","새로운 창조","Создавать новое","Crear nuevo","创建新的","خلق جديد إبداع جديد","Crie um novo","Crea nuovo"
"date","Date","Date","तारीख","Data","日付","날짜","Дата","Fecha","日期","تاريخ","Data","Data"
"dateRange","Date: {from} - {to}","Date : {from} - {to}","तिथि: {from} - {to}","Data: {from} - {to}","日付：{from} - {to}","날짜 : {from} - {to}","Дата: {from} - {to}","Fecha: {from} - {to}","日期：{from} - {to}","التاريخ: {from} - {to}","Data: {from} - {to}","Data: {from} - {to}"
"day","Day","Jour","दिन","Zi","日","낮","День","Día","天","يوم","Dia","Giorno"
"default","Default","Défaut","डिफ़ॉल्ट","Default","デフォルト","기본","По умолчанию","Por defecto","默认","تقصير","Padrão","Predefinito"
"delete","Delete","Supprimer","हटाएँ","Sterge","消去","삭제","Удалить","Borrar","删除","يمسح","Excluir","Elimina"
"description","Description","Description","विवरण","Descriere","説明","설명","Описание","Descripción","描述","وصف","Descrição","Descrizione"
"dialog.cancel.discard","Continue editing","Continuer l'édition","संपादन जारी रखें","Continuati sa editati","編集を続けます","계속 편집하십시오","Продолжить редактирование","Continua editando","继续编辑","الاستمرار في التعديل","Continue editando","Continua a modificare"
"dialog.info.alreadyBooked","Member already booked a slot for this class!","Le membre a déjà réservé une place pour ce cours!","सदस्य ने पहले से ही इस कक्षा के लिए स्थान बुक कर लिया है!","Membru a rezervat deja un loc pentru aceasta clasa!","メンバーはすでにこのクラスのスロットを予約しています！","회원은 이미이 수업을위한 슬롯을 예약했습니다!","Участник уже забронировал слот для этого класса!","¡El miembro ya reservó un espacio para esta clase!","会员已经为此课预订了一个插槽！","حجز بالفعل فتحة لهذا الفصل!","Membro já reservou um slot para esta aula!","Il cliente ha già prenotato un posto per questo corso!"
"dialog.info.cancel","Are you sure you want to cancel?","Êtes-vous sûr(e) de vouloir annuler?","क्या आप वाकई इसे रद्द करना चाहते हैं?","Sunteti sigur ca doriti sa anulati?","あなたがキャンセルしてもよろしいです？","정말 취소 하시겠습니까?","Вы действительно хотите отменить?","¿Estas seguro que quieres cancelar?","你确定要取消？","هل أنت متأكد أنك تريد إلغاء؟","Você tem certeza que deseja cancelar?","Sei sicuro di voler cancellare?"
"dialog.info.delete","Are you sure you want to delete this {module}?","Êtes-vous sûr de vouloir supprimer ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को हटाना चाहते हैं?","Sunteți sigur că doriți să eliminați acest {module}?","この{module}を削除したいですか？","이 {module}을 삭제 하시겠습니까?","Вы уверены, что хотите удалить этот {module}?","¿Estás seguro de que quieres eliminar este {module}?","您确定要删除此{module}吗？","هل أنت متأكد من أنك تريد حذف هذا {module}؟","Tem certeza de que deseja excluir este {module}?","Sei sicuro di voler eliminare questo {module}?"
"dialog.info.deleteSelected","Are you sure you want to delete selected {module}?","Êtes-vous sûr de vouloir supprimer les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को हटाना चाहते हैं?","Sunteți sigur că doriți să eliminați modulul selectat {module}?","選択した{module}を削除する必要がありますか？","선택한 {module}을 삭제 하시겠습니까?","Вы уверены, что хотите удалить выбранный {module}?","¿Estás seguro de que quieres eliminar {module} seleccionado?","您确定要删除所选{module}吗？","هل أنت متأكد من أنك تريد حذف {module} المحدد؟","Tem certeza de que deseja excluir selecionados {module}?","Sei sicuro di voler eliminare {module}?"
"dialog.info.discard","If you discard changes","vous supprimerez toutes les modifications que vous avez faites depuis votre dernière sauvegarde.","आप अपनी अंतिम सहेजी हुई संपादनों को हटा देंगे","Veți șterge toate modificările pe care le-ați făcut de la ultima salvare","अगर आप बदलाव छोड़ते हैं","변경 사항을 폐기하는 경우","Если вы отбросите изменения","Si descartas cambios","如果您丢弃更改","إذا قمت بالتخلص من التغييرات","Se você descartar mudanças","Se elimini le modifiche, perderai tutte le modifiche apportate dall'ultimo salvataggio."
"dialog.info.forceDelete","Are you sure you want to permanently delete this {module}?","Êtes-vous sûr de vouloir supprimer définitivement ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को स्थायी रूप से हटाना चाहते हैं?","Sunteti sigur ca doriti sa stergeti permanent acest lucru {module}?","この{module}を永続的に削除する必要がありますか？","이 {module}을 영구적으로 삭제 하시겠습니까?","Вы уверены, что хотите навсегда удалить этот {module}?","¿Estás seguro de que quieres eliminar permanentemente este {module}?","您确定要永久删除此{module}吗？","هل أنت متأكد من أنك تريد حذف هذا {module} بشكل دائم؟","Tem certeza de que deseja excluir permanentemente este {module}?","Sei sicuro di voler eliminare definitivamente {module}?"
"dialog.info.forceDeleteSelected","Are you sure you want to permanently delete selected {module}?","Êtes-vous sûr de vouloir supprimer définitivement les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को स्थायी रूप से हटाना चाहते हैं?","Suntetri sigur ca doriti sa stergeti permanent selectia {module}?","選択した{module}を永続的に削除する必要がありますか？","선택한 {module}을 영구적으로 삭제 하시겠습니까?","Вы уверены, что хотите навсегда удалить выбранную {module}?","¿Estás seguro de que quieres eliminar permanentemente Selected {module}?","您确定要永久删除所选{module}吗？","هل أنت متأكد من أنك تريد حذف {module} المحدد بشكل دائم؟","Tem certeza de que deseja excluir permanentemente o {module}?","Sei sicuro di voler eliminare definitivamente i {module} selezionati?"
"dialog.info.lateCancel","Your class will be cancelled and tagged as a late cancellation.","Votre cours sera annulé et marqué comme une annulation tardive.","आपकी कक्षा रद्द कर दी जाएगी और इसे एक देर से रद्द करने के रूप में चिह्नित किया जाएगा।","Clasa ta va fi anulata si marcata ca o anulare tarzie","あなたのクラスはキャンセルされ、後期キャンセルとしてタグ付けされます。","귀하의 클래스는 취소 및 늦은 취소로 태그가 지정됩니다.","Ваш класс будет отменен и помечен как поздняя отмена.","Su clase será cancelada y etiquetada como una cancelación tardía.","您的班级将被取消并将其标记为较晚的取消。","سيتم إلغاء الفصل الخاص بك ووضع علامة عليه على أنه إلغاء متأخر.","Sua aula será cancelada e marcada como um cancelamento tardio.","Il tuo corso sarà cancellato e contrassegnato come cancellazione tardiva."
"dialog.info.noSlotAvailable","Slots are not available for selected class schedule! Please contact reception for standby places.","Les créneaux horaires ne sont pas disponibles pour l'horaire de classe sélectionné! Veuillez contacter la réception pour les places en liste d'attente.","चयनित कक्षा समय सारणी के लिए स्लॉट उपलब्ध नहीं हैं! कृपया प्राप्ति के लिए स्थान प्राप्त करने के लिए सुप्रभात करें।","Nu sunt disponibile locuri pentru programul de curs selectat! Va rugam sa contactati receptia pentru locurile pe lista de asteptare","選択したクラススケジュールにはスロットが利用できません！スタンバイの場所については、レセプションにお問い合わせください。","선택된 클래스 일정에 슬롯을 사용할 수 없습니다! 대기 장소는 리셉션에 문의하십시오.","Слоты недоступны для выбранного графика занятий! Пожалуйста, свяжитесь с приемной для резервных мест.","¡Las ranuras no están disponibles para el horario de clases seleccionado! Póngase en contacto con la recepción para lugares en espera.","插槽不适合选定的课程时间表！请联系待机场所的接待处。","الفتحات غير متوفرة لجدول الفصل المحدد! يرجى الاتصال بالاستقبال لأماكن الاستعداد.","Os slots não estão disponíveis para o cronograma de aulas selecionado! Entre em contato com a recepção para lugares em espera.","I posti non sono disponibili per l'orario dei corsi selezionati! Si prega di contattare la reception per i posti in lista d'attesa."
"dialog.info.reset","This action can't be undone. You have unsaved edits that you will lose.","Cette action ne peut pas être annulée. Vous avez des modifications non enregistrées que vous perdrez.","इस क्रिया को वापस नहीं किया जा सकता है। आपके पास असहेजीते संपादन हैं जिन्हें आप खो देंगे।","Aceasta actiune nu poate fi anulata. Aveti modificari nesalvate pe care le veti pierde","このアクションを元に戻すことはできません。あなたは失うことになる救われていない編集を持っています。","이 행동은 취소 할 수 없습니다. 당신은 당신이 잃을 편집되지 않은 편집물을 가지고 있습니다.","Это действие не может быть отменено. У вас есть неспасенные изменения, которые вы потеряете.","Esta acción no se puede deshacer. Tienes ediciones no salvadas que perderás.","该动作不能撤消。您有未保存的编辑，您将丢失。","لا يمكن التراجع عن هذا الإجراء. لديك تعديلات غير محفوظة ستخسرها.","Esta ação não pode ser desfeita. Você tem edições não salvas que perderá.","Questa azione non può essere annullata. Hai alcune modifiche non salvate che perderai."
"dialog.info.restore","Are you sure you want to restore this {module}?","Êtes-vous sûr de vouloir restaurer ce {module}?","क्या आप सुनिश्चित हैं कि आप इस {module} को पुनर्स्थापित करना चाहते हैं?","Sunteti sigur ca doriti sa restaurati acest lucru {module}?","この{module}を復元したいですか？","이 {module}을 복원 하시겠습니까?","Вы уверены, что хотите восстановить этот {module}?","¿Estás seguro de que quieres restaurar este {module}?","您确定要还原此{module}吗？","هل أنت متأكد من أنك تريد استعادة هذا {module}؟","Tem certeza de que deseja restaurar este {module}?","Sei sicuro di voler ripristinare questo {module}?"
"dialog.info.restoreSelected","Are you sure you want to restore selected {module}?","Êtes-vous sûr de vouloir restaurer les {module} sélectionnés?","क्या आप सुनिश्चित हैं कि आप चयनित {module} को पुनर्स्थापित करना चाहते हैं?","Sunteti sigur ca doriti sa restaurati selectia {module}?","選択した{module}を復元したいですか？","선택한 {module}을 복원 하시겠습니까?","Вы уверены, что хотите восстановить выбранный {module}?","¿Estás seguro de que quieres restaurar {module} seleccionado?","您确定要还原选定的{module}吗？","هل أنت متأكد من أنك تريد استعادة {module}؟","Tem certeza de que deseja restaurar selecionados {module}?","Sei sicuro di voler ripristinare i {module} selezionati?"
"dialog.info.userAlreadyBooked","Class schedule already booked by you!","Horaire de cours déjà réservé par vous!","कक्षा का शेड्यूल आपके द्वारा पहले ही बुक कर लिया गया है!","Programul clasei a fost deja rezervat de catre dumneavoastra!","すでにあなたによって予約されているクラススケジュール！","수업 일정이 이미 예약되었습니다!","Расписание занятий уже забронировано вами!","¡Horario de clases ya reservado por usted!","您已经预定的课程时间表！","جدول الفصل الذي تم حجزه بالفعل من قبلك!","Cronograma de aula já reservada por você!","L'orario dei corsi è già stato prenotato da te!"
"dialog.info.warning","Are you sure you want to delete?","Etes-vous sûr que vous voulez supprimer?","क्या आप आश्वस्त है कि आपको डिलीट करना है?","Sunteti sigur ca doriti sa stergeti?","消去してもよろしいですか？","삭제 하시겠습니까?","Вы уверены, что хотите удалить?","¿Estas seguro que quieres borrarlo?","你确定你要删除？","هل أنت متأكد أنك تريد حذف؟","Tem certeza de que deseja excluir?","Confermi la cancellazione?"
"dialog.ok.discard","Discard changes","Abandonner les modifications","बदलाव छोड़ें","Anulati schimbarile","変更を破棄","변경 사항을 취소","Отменить изменения","Descartar los cambios","放弃更改","تجاهل التغييرات","Descartar mudanças","Annulla modifiche"
"dialog.title.cancel","Please Confirm","Veuillez confirmer","कृपया पुष्टि करें","Va rog confirmati","確認してください","확인 해주세요","Пожалуйста подтвердите","Por favor confirmar","请确认","يرجى تأكيد","Por favor confirme","Si prega di confermare"
"dialog.title.discard","Discard all unsaved changes?","Abandonner toutes les modifications non enregistrées?","सभी असहेजीते बदलाव छोड़ें?","Anuleaza toate schimbarile nesalvate?","救われていないすべての変更を破棄しますか？","구원받지 않은 모든 변경 사항을 폐기 하시겠습니까?","Отбросить все неспасенные изменения?","¿Descartar todos los cambios no salvos?","丢弃所有未保存的更改？","تجاهل جميع التغييرات غير المحفوظة؟","Descartar todas as alterações não salvas?","Confermi di voler abbandonare con tutte le modifiche non salvate?"
"dialog.title.error","Error","Erreur","त्रुटि","Eroare","エラー","오류","Ошибка","Error","错误","خطأ","Erro","Errore"
"dialog.title.reset","Reset all changes","Réinitialiser toutes les modifications","सभी बदलाव रीसेट करें","Reseteaza toate schimbarile","すべての変更をリセットします","모든 변경 사항을 재설정합니다","Сбросить все изменения","Restablecer todos los cambios","重置所有更改","إعادة ضبط جميع التغييرات","Redefinir todas as alterações","Reimposta tutte le modifiche"
"dialog.title.success","Success","Succès","सफलता","Succes","成功","성공","Успех","Éxito","成功","نجاح","Sucesso","Ben Fatto!"
"dialog.title.warning","Warning","Attention","सावधान","Avertizare","警告","경고","Предупреждение","Advertencia","警告","تحذير","Aviso","Attenzione"
"discard","Discard","Abandonner","छोड़ दें","Discard","破棄","버리다","Отказаться","Desechar","丢弃","ينبذ","Descartar","Abbandona"
"document","Document","Document","दस्तावेज़","Document","書類","문서","Документ","Documento","文档","وثيقة","Documento","Documento"
"done","Done","Terminé","हो गया","Terminat","終わり","완료","Сделанный","Hecho","完毕","منتهي","Feito","Conferma"
"donTHaveAnAccount","Don't have an account?","Vous n'avez pas de compte?","कोई खाता नहीं है?","Nu ai cont?","アカウントを持っていませんか？","계정이 없습니까?","У вас нет учетной записи?","¿No tienes una cuenta?","没有帐户？","ليس لديك حساب؟","Não tem uma conta?","Non hai un account?"
